"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000141750.7",10.9622074686671,1.14633022780429,0.745311716180981,1.53805475335628,0.124035227794733,0.285025855689103
"ENSG00000088298.13",1454.82301801418,0.169300240696756,0.110127676911429,1.53730874422164,0.124217721182997,0.285377733914035
"ENSG00000163093.12",124.145724683837,0.293484405577039,0.19090657643428,1.53731951543362,0.124215084772588,0.285377733914035
"ENSG00000274561.1",18.6203197729233,0.719370022554257,0.46796334799534,1.53723582335218,0.124235570772013,0.285385008098907
"ENSG00000066557.6",1875.07583127526,-0.131653933741439,0.0856518482458458,-1.53708222808635,0.124273174406676,0.285413468005829
"ENSG00000214021.16",50.8357900233051,0.447029304181974,0.290833002655529,1.53706525772609,0.124277329683748,0.285413468005829
"ENSG00000132004.13",193.862360891365,0.245521990830434,0.159764975318121,1.53676981041405,0.124349688797952,0.28554590636543
"ENSG00000232818.2",48.6100513116245,0.438638154896676,0.285598743074567,1.53585464058626,0.124574035070968,0.286027282414569
"ENSG00000164331.10",313.442767522308,0.247213230071397,0.160981245764225,1.53566478441513,0.124620616246155,0.286100436730482
"ENSG00000187257.16",1609.18891034751,-0.131410459046417,0.0855777091485456,-1.53556878717465,0.124644174320878,0.28611173820467
"ENSG00000204335.4",28.6649678824857,1.01163612451651,0.658821109360398,1.5355247580009,0.124654980403228,0.28611173820467
"ENSG00000233920.2",5.88390305261338,1.34050736252805,0.873317359907053,1.53496016919979,0.124793612222251,0.286396109003622
"ENSG00000183060.15",249.151227865972,-0.250649976100797,0.163315722380026,-1.53475717125109,0.124843486677607,0.286476742274614
"ENSG00000130717.13",969.960898675452,-0.153169375975742,0.09980491462348,-1.53468771105694,0.124860555883317,0.286482087610452
"ENSG00000141562.18",1507.07263602483,0.18421951683851,0.120080786285252,1.53412983490045,0.124997714839808,0.286762935036179
"ENSG00000073598.6",7.00694258699907,-1.27719471898294,0.832565163903863,-1.53404775308425,0.125017905314479,0.286775405133037
"ENSG00000241837.7",318.093655318671,0.388618846745959,0.253365150242993,1.53382912517073,0.125071695786007,0.286864937372769
"ENSG00000174243.10",7985.72962329734,-0.141179282339728,0.0920522750953838,-1.53368596477859,0.125106928258458,0.286911888806065
"ENSG00000164967.10",487.980646447053,-0.2852136135511,0.185997705442915,-1.53342544130812,0.125171064209085,0.287025106650281
"ENSG00000180767.10",35.0871800873058,0.684240556128507,0.446253456586437,1.53330029387901,0.125201882250589,0.287028047112816
"ENSG00000186106.11",355.569945191344,0.204672688953006,0.133481592369028,1.53334018062326,0.12519205934251,0.287028047112816
"ENSG00000152078.10",624.856871942902,-0.233408733147884,0.1522407276718,-1.53315565891846,0.125237506539908,0.287042002017647
"ENSG00000174720.16",1400.50530639986,-0.162625063885305,0.106070027593201,-1.53318583557839,0.125230073230636,0.287042002017647
"ENSG00000109107.14",388.502714756178,0.554082443795273,0.361446745613991,1.53295734577455,0.125286364867962,0.287078339821642
"ENSG00000126870.16",707.600046388288,0.227910214446565,0.148678003004964,1.53291145858984,0.125297672191139,0.287078339821642
"ENSG00000188554.14",5012.07332624212,-0.216204586987799,0.141036201456406,-1.53297227772139,0.125282685573208,0.287078339821642
"ENSG00000213889.10",71.7644288822148,0.416070790726156,0.271483223583296,1.53258380107048,0.125378435270267,0.287229522384831
"ENSG00000176142.13",1277.95574370363,-0.142748952676192,0.0931526416743689,-1.53241980163263,0.125418874112456,0.28728830138476
"ENSG00000013561.18",1560.50076048604,0.136901182460067,0.089391501160415,1.53147872765214,0.125651119885578,0.287752464486402
"ENSG00000116731.22",1198.01545019281,0.181653672818771,0.118611705069121,1.5314987059069,0.125646186012851,0.287752464486402
"ENSG00000162976.13",548.926177730895,0.206994097072173,0.135188967512159,1.53114637149335,0.125733221423836,0.287906561215089
"ENSG00000101152.11",7319.11758415487,0.13481531939793,0.0880679566383425,1.53081012145608,0.125816327390461,0.288062921328897
"ENSG00000117859.19",5648.19420104556,0.11817907353884,0.0772099912789896,1.5306189209608,0.125863602681353,0.288137218105391
"ENSG00000163257.11",1361.71788727375,-0.128999770398998,0.0842861849808328,-1.53049720340686,0.125893705171165,0.288172188635823
"ENSG00000164109.14",4033.36763360222,-0.156844602097397,0.102507040700401,-1.53008613872493,0.125995408795161,0.288371027477949
"ENSG00000121774.18",12904.470866045,-0.104348586661927,0.06821099660024,-1.52979126332776,0.126068404844599,0.288444961632014
"ENSG00000134690.11",3870.52008806293,-0.191702489025357,0.12530659828511,-1.52986747425045,0.126049535766673,0.288444961632014
"ENSG00000272144.1",16.5030493953698,0.711034915369213,0.464796813258552,1.52977579683552,0.126072234465114,0.288444961632014
"ENSG00000156795.8",769.619582883188,0.168645352686969,0.110261486585277,1.52950370895406,0.126139620302795,0.288565167161619
"ENSG00000107404.20",4897.97760443199,-0.186315778621237,0.121830759474919,-1.52929998486625,0.126190093387226,0.288643950092883
"ENSG00000140043.11",17.1187604610155,0.723597510120104,0.473173095097456,1.52924483157917,0.126203760438841,0.288643950092883
"ENSG00000188493.15",467.958806138397,0.176909855698246,0.115695554907988,1.52909812169484,0.12624012093834,0.288693139258452
"ENSG00000141101.13",2070.26194335807,-0.140624947387515,0.0919819892949956,-1.52883133388772,0.126306262392569,0.288776439932005
"ENSG00000178814.17",1001.5511879631,0.158887772219044,0.103925130922083,1.52886766472461,0.126297253743412,0.288776439932005
"ENSG00000122545.20",11246.922620911,0.110799195696873,0.0724782280111724,1.52872384904048,0.126332917427685,0.288803408977239
"ENSG00000186416.15",1069.03153712327,-0.164898769619411,0.107873425987526,-1.52863198799749,0.126355701406182,0.288821523289493
"ENSG00000228288.7",6.8852997653447,1.25072989169176,0.818307794297213,1.52843453332364,0.126404686240358,0.288899515729962
"ENSG00000166710.20",5907.07598355181,-0.196101615009351,0.128351481458469,-1.52784847343429,0.126550163884151,0.289197999441783
"ENSG00000277287.1",3.07375572377454,2.24514442288515,1.46956947401102,1.52775657264933,0.126572988234045,0.289216153223242
"ENSG00000173535.14",22.2443433852945,0.67468906831229,0.441678837032187,1.52755579788652,0.126622863521371,0.289280598536059
"ENSG00000226853.3",7.94195953615775,1.14283953617911,0.748165086438231,1.52752321231641,0.126630959680222,0.289280598536059
"ENSG00000168286.3",1312.81670439049,0.18661398136924,0.122172844767148,1.52745875505242,0.126646975816403,0.289283185094325
"ENSG00000085999.13",1313.86082190545,0.196870372283352,0.12889797650551,1.52733485521347,0.12667776648378,0.289319514615598
"ENSG00000157306.14",5.37626358950344,-1.47662257097778,0.966941128481481,-1.52710700525969,0.126734405273444,0.289380862417136
"ENSG00000271797.1",6.09895985911002,-1.22221854985801,0.800342979716881,-1.5271184739952,0.126731553911745,0.289380862417136
"ENSG00000004864.13",1287.80399753119,0.135545545749061,0.0887959508495903,1.52648340889618,0.126889519248936,0.289666983335956
"ENSG00000118363.12",4578.42865877265,-0.160579061796056,0.105194606518472,-1.5264951988566,0.12688658523272,0.289666983335956
"ENSG00000240449.1",20.5059270125248,-0.685788099849131,0.449306817891749,-1.52632471295897,0.126929017010338,0.28972312091755
"ENSG00000272849.1",23.0710257026556,-0.702780012924729,0.460466283101495,-1.52623555451469,0.126951211813822,0.289739754909987
"ENSG00000134759.14",1884.0840645876,-0.113684476386039,0.074503054443164,-1.52590356510505,0.127033882706105,0.289894392893725
"ENSG00000231160.10",16.3355499564513,0.702379815222568,0.460398237147117,1.52559188665644,0.12711153395508,0.290003495005393
"ENSG00000269737.2",84.7483589718456,0.353853908406939,0.231940591561546,1.52562303141769,0.127103772920551,0.290003495005393
"ENSG00000005471.17",4.43807250762529,-1.34352456836726,0.880838398491286,-1.52527929148919,0.127189450688994,0.290147202299448
"ENSG00000141582.15",914.043520983969,0.162183172262004,0.106379759637417,1.52456795178694,0.127366896051742,0.290517895981887
"ENSG00000151025.11",3.57300403360209,1.77442935644338,1.16478727410719,1.52339349500833,0.127660288493449,0.291140618243145
"ENSG00000272668.2",27.8634475846433,0.693463771530701,0.455221325249421,1.52335519683913,0.127669864647372,0.291140618243145
"ENSG00000110324.10",7.92148889559164,1.32525242519829,0.87019650104493,1.52293467464754,0.127775049642868,0.291346300429232
"ENSG00000115271.11",860.545465374234,-0.150616712676668,0.0989047435373548,-1.52284619816827,0.127797188797702,0.291362599586175
"ENSG00000184056.14",55.9149665582046,-0.390535191271552,0.256472873782553,-1.52271538705751,0.127829926662641,0.291403055901371
"ENSG00000214558.4",2.96498916610786,2.10453935431777,1.38238583664224,1.52239649635706,0.127909762202533,0.291516667233634
"ENSG00000218358.2",38.204660601681,0.481430552971929,0.316231346938988,1.52239984312755,0.127908924124109,0.291516667233634
"ENSG00000146216.13",11.1116181709068,0.8919250259167,0.585956121927498,1.52217033415867,0.127966406294152,0.291611569085841
"ENSG00000137673.9",28812.9321095435,-0.253404321679037,0.166490306425404,-1.52203649041018,0.127999937694146,0.291653785348585
"ENSG00000186056.10",22.9955882997636,0.634158783369228,0.416749336909339,1.52167916587996,0.128089490409199,0.291823623911989
"ENSG00000110848.8",4.01830557767649,1.39859277179868,0.919235108606379,1.52147449407045,0.128140807219872,0.291906320807014
"ENSG00000113141.18",4885.01943873199,-0.126704365342533,0.0832978124788957,-1.52110075369188,0.128234555378105,0.292085646118464
