Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000165238.16,367,271,293,135,143,92,35,24,18,64,54,77
ENSG00000165240.20,776,750,596,623,1121,607,825,400,536,634,1069,852
ENSG00000165244.7,3242,2249,2356,1417,2443,1596,1551,1528,1053,1626,1331,2212
ENSG00000165246.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165259.14,120,129,131,149,255,148,47,42,36,102,129,105
ENSG00000165264.11,2234,1833,2228,1483,2415,1962,1476,1473,1008,1411,1772,2223
ENSG00000165269.13,4,0,2,19,23,13,7,2,2,22,49,7
ENSG00000165271.17,6332,4084,4436,3692,6103,4773,5128,4237,3438,4514,3024,6318
ENSG00000165272.16,393,729,591,983,2241,1859,3039,2710,2430,2624,6241,4545
ENSG00000165275.10,522,474,504,284,515,320,335,278,219,354,323,478
ENSG00000165280.16,40017,31574,34575,16147,27503,19993,17939,14977,13537,20109,19863,27412
ENSG00000165282.14,2470,2012,2064,1373,2465,1651,1472,1227,1059,1889,2016,2371
ENSG00000165283.16,8918,7406,9046,3891,6746,5828,4726,4425,3382,5630,5576,8291
ENSG00000165288.11,1807,1811,1431,1229,2203,1063,946,506,729,1133,1760,1441
ENSG00000165300.7,0,0,0,3,0,0,0,0,0,0,0,0
ENSG00000165304.8,6418,4782,5152,3471,6170,3668,3443,2493,2891,3405,3620,4415
ENSG00000165309.14,133,108,87,21,51,25,46,55,47,86,156,88
ENSG00000165312.6,345,322,284,317,521,317,173,141,128,280,391,326
ENSG00000165322.18,5389,4780,4323,3867,7228,4130,4271,3015,3277,4114,5740,5858
ENSG00000165323.15,0,0,0,3,11,7,0,0,0,4,5,0
ENSG00000165325.13,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000165338.16,703,564,509,263,501,232,193,129,116,249,285,331
ENSG00000165349.12,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000165355.7,1089,885,853,620,1200,728,557,409,393,654,775,818
ENSG00000165359.15,352,293,288,248,514,240,174,112,110,174,219,246
ENSG00000165370.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165376.10,46670,45703,45256,11516,19618,13713,16963,16336,13028,18023,19882,26005
ENSG00000165379.13,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000165383.11,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000165389.7,2647,2145,2448,1428,2421,1587,1029,1058,785,1113,1557,1776
ENSG00000165392.10,863,753,634,565,1190,642,515,305,356,471,592,580
ENSG00000165406.16,211,152,122,113,219,113,70,30,73,129,167,128
ENSG00000165409.17,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165410.15,4231,3280,3631,1957,3189,1967,1627,1215,1120,1571,1808,2221
ENSG00000165416.14,4295,3537,3602,3193,5845,3872,3138,2666,2274,2769,3111,4216
ENSG00000165417.12,4061,3200,3119,2319,3800,2105,1522,1185,950,2044,2249,2526
ENSG00000165424.7,807,737,671,508,968,632,216,167,194,506,757,548
ENSG00000165434.8,447,453,341,370,642,290,170,104,106,316,450,383
ENSG00000165443.12,0,0,0,3,0,0,0,0,0,0,1,0
ENSG00000165449.11,41,30,20,7,17,9,24,21,12,7,13,14
ENSG00000165457.14,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000165458.14,9450,8364,8122,8180,15198,9138,6121,4658,4084,8232,8990,9654
ENSG00000165462.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165471.6,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000165474.8,923,654,685,576,803,478,387,396,333,760,738,980
ENSG00000165475.15,662,667,715,591,1120,898,483,451,418,592,1073,819
ENSG00000165476.14,6996,5563,5746,4517,7650,4514,3960,3222,3073,3917,4860,5452
ENSG00000165478.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165480.16,3486,2476,2479,2118,3590,2193,2078,1688,1586,1916,1632,2693
ENSG00000165487.14,2603,1925,2022,1531,2690,1804,1262,1170,984,1293,1609,1900
ENSG00000165490.13,3776,2437,2610,2617,4554,2492,2493,1890,1819,2178,1741,2884
ENSG00000165494.11,3001,2453,2167,2086,3602,2084,2022,1336,1450,2016,2379,2668
ENSG00000165495.16,14,16,2,0,0,0,0,0,0,0,1,7
ENSG00000165496.5,0,0,0,0,1,0,0,0,0,2,0,0
ENSG00000165501.17,1400,1062,1295,803,1511,914,821,746,590,718,766,1120
ENSG00000165502.7,6835,5764,8117,3285,5558,5179,3349,3157,2301,3110,4604,6143
ENSG00000165506.14,1100,805,964,527,949,633,497,539,392,605,650,877
ENSG00000165507.9,15,66,58,22,49,39,14,21,9,27,87,33
ENSG00000165509.13,0,0,2,0,3,1,1,0,0,0,1,0
ENSG00000165511.6,36,38,44,26,29,24,30,18,18,22,53,55
ENSG00000165512.5,1197,809,922,326,577,345,417,334,257,388,398,519
ENSG00000165516.11,825,752,792,512,932,627,477,400,349,595,1023,794
ENSG00000165521.15,30,35,20,75,160,96,47,11,26,57,70,69
ENSG00000165525.18,3856,3081,3077,1838,3474,2154,1946,1376,1401,1703,2068,2631
ENSG00000165526.9,3273,2468,2968,2439,4279,3146,2518,2181,1709,2418,2730,3439
ENSG00000165527.7,28061,23837,25896,9266,17171,11618,7926,6446,5953,10213,11982,14121
ENSG00000165533.18,680,695,665,531,979,632,414,299,258,447,662,631
ENSG00000165548.11,50,61,60,3,0,1,0,1,0,3,0,2
ENSG00000165553.4,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000165555.9,20,10,6,5,20,6,8,6,5,6,11,15
ENSG00000165556.10,410,367,352,1500,2353,1885,1097,857,760,1750,2044,1913
ENSG00000165566.12,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165568.18,246,209,202,230,416,303,211,206,178,241,264,312
ENSG00000165572.8,1500,1202,1330,722,1354,818,704,539,459,669,854,918
ENSG00000165583.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165584.16,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000165588.17,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000165591.6,48,40,50,13,14,15,55,53,53,49,108,69
ENSG00000165606.8,5,2,2,3,1,1,0,0,1,1,1,2
ENSG00000165609.13,5175,4233,4419,2634,4597,2994,2637,2276,1817,2697,3186,3932
ENSG00000165617.14,12,4,10,37,83,54,71,51,64,54,70,83
ENSG00000165621.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165623.10,0,0,0,1,0,0,1,0,0,0,0,1
ENSG00000165626.17,1167,982,861,921,1510,877,732,498,543,842,1186,1020
ENSG00000165629.20,11925,9773,10912,7197,12713,8778,7156,6665,4926,6854,8902,10180
ENSG00000165630.14,340,266,318,184,333,260,203,129,164,151,254,328
ENSG00000165632.8,1515,1135,1249,1006,1658,1113,931,758,753,1066,948,1335
ENSG00000165633.13,1,0,0,0,0,0,1,0,0,0,0,0
